RE_Identity	Normalized	FOLD	condensed
S77B	0.653140096618357	-1.30330731834441	S77
Sh7h	0.35844513243894	-2.16894749609764	Sh7h
BhSS	0.527541858772143	-1.6114142254931	hSS
hSBp	0.69873417721519	-1.20595608852621	hSp
hhh7	1.26345083487941	-0.351402176980345	hhh7
SBh7	0.547578589634664	-1.5576337589167	Sh7
7SB7	0.490552710577432	-1.7162916327461	7S7
hShB	5.38440111420613	1.74001418614827	hSh
Sp7p	0.525990099009901	-1.61566415396664	Sp7p
7SBp	0.611466821885914	-1.39842557670533	7Sp
BSpp	0.613652357494722	-1.39327821670576	Spp
ShpS	0.835119253370204	-0.948717570844432	ShpS
pBS7	0.310062590274434	-2.37814032496994	pS7
hB7p	0.513950073421439	-1.64907157841965	h7p
SpSS	1.11862791805622	-0.527041460422013	SpSS
FIGNL2	0.307017543859649	-2.39237869945969	FIGNL2
Sppp	0.363330312054901	-2.14941806466034	Sppp
6merx4	0.48489010989011	-1.73304196916743	6merx4
7hpp	0.438308886971527	-1.87875186647422	7hpp
ppSS	0.630952380952381	-1.35316867045547	ppSS
B77S	0.11063829787234	-3.86484893066382	77S
7Bpp	0.426940639269406	-1.91666430195345	7pp
7SSB	0.477157360406091	-1.75623467001865	7SS
hSpS	0.363846375974589	-2.14737035604986	hSpS
7pcx4	0.129777777777778	-3.63465642946429	7pcx4
7h7B	0.370412517780939	-2.12156694303417	7h7
ppSS	0.400669176076955	-2.00828827121536	ppSS
pphh	0.325058548009368	-2.3100002041695	pphh
pSBp	0.548037889039242	-1.55642415861408	pSp
h7BS	0.337089661930426	-2.25756741457053	h7S
ShpB	1.71096774193548	0.0860408577110767	Shp
hBSS	0.580997451765562	-1.47216796109342	hSS
pS77	0.311904029529376	-2.36959760592693	pS77
hhSS	2.45554614733277	0.607272233265228	hhSS
7ppp	0.407413080104151	-1.98420749797598	7ppp
hp7S	0.42523768366465	-1.92243034600816	hp7S
SBBp	1.13586024021214	-0.504986370176363	Sp
Control	1.78453738910013	0.146778426383928	Control
pShB	1.16919072408897	-0.463261413727341	pSh
BS77	0.392523364485981	-2.0379212658623	S77
hS7B	0.287438288535381	-2.4874475467416	hS7
pSpp	0.535928143712575	-1.58866021744971	pSpp
BhhB	4.57592752372735	1.50529249979178	hh
B77S	0.415094339622642	-1.95726053816581	77S
7hpS	0.283673469387755	-2.50646856851897	7hpS
h7SS	0.386802493538087	-2.05910270188998	h7SS
SBp7	0.492307692307692	-1.71113951526837	Sp7
BppS	0.47768479776848	-1.75464083309393	ppS
S77h	0.226289517470882	-2.83253004170076	S77h
hSB7	0.440481128162588	-1.87161958703828	hS7
7Shp	0.803827751196172	-1.00381341154203	7Shp
SBhS	1.15271786022433	-0.483732260772331	ShS
hph7	0.638042935596605	-1.33704628710562	hph7
pSp7	0.364197530864198	-2.14597865576269	pSp7
SShp	1.1830985915493	-0.446201398965833	SShp
Sh7S	0.616625310173697	-1.38630568920559	Sh7S
pShB	1.82991076228363	0.183001593291282	pSh
B7pp	0.223148148148148	-2.85269796306078	7pp
phhB	4.51734539969834	1.48670352532365	phh
SpSp	1.61842105263158	0.00581528965574317	SpSp
pp7h	0.291735628379124	-2.46603821018132	pp7h
